Invoice ID,Client Name,Invoice Date,Due Date,Amount (USD),Status,Payment Method,Notes
INV-2024-001,Smith Consulting LLC,2024-01-05,2024-01-20,1250.00,Paid,Bank Transfer,Payment received on time
INV-2024-002,Johnson Marketing,2024-01-08,2024-01-22,875.50,Paid,PayPal,Partial payment - $500 initial
INV-2024-003,Premier Tech Solutions,2024-01-12,2024-02-01,3400.00,Overdue,Wire Transfer,Follow up sent 02/05
INV-2024-004,Greenfield Architects,2024-01-15,2024-01-30,620.00,Paid,Credit Card,-
INV-2024-005,DataFlow Inc,2024-01-18,2024-02-05,2100.00,Pending,Bank Transfer,Payment scheduled for 02/10
INV-2024-006,Westside Media Group,2024-01-20,2024-02-10,1500.00,Pending,Bank Transfer,-
INV-2024-007,Atlas Holdings,2024-01-22,2024-02-10,4500.00,Paid,Check,Received via mail
INV-2024-008,Brighton Education Services,2024-01-25,2024-02-12,780.00,Overdue,Credit Card,Sent reminder 02/08
INV-2024-009,Nordic Clothing Co,2024-01-28,2024-02-15,3200.00,Pending,Wise Transfer,Expecting by 02/20
INV-2024-010,Pinnacle Realty,2024-01-30,2024-02-15,950.00,Paid,Stripe,-
INV-2024-011,Quantum Computing Labs,2024-02-01,2024-02-18,12000.00,Pending,Bank Transfer,Net 30 terms agreed
INV-2024-012,Summit Fitness,2024-02-03,2024-02-18,435.00,Paid,PayPal,-
INV-2024-013,Horizon Logistics,2024-02-05,2024-02-22,2800.00,Overdue,Wire Transfer,Client disputing partial amount
INV-2024-014,Creative Agency 360,2024-02-08,2024-02-22,1670.00,Pending,Bank Transfer,-
INV-2024-015,Pacific Dental Group,2024-02-10,2024-02-28,540.00,Paid,Credit Card,Paid in full
INV-2024-016,Stellar Communications,2024-02-12,2024-03-01,2250.00,Pending,Stripe,Sent invoice reminder
INV-2024-017,Meridian Health Systems,2024-02-15,2024-03-03,8900.00,Negotiating,Wise Transfer,Client requested discount - 10% offered
INV-2024-018,Voyager Travel Agency,2024-02-18,2024-03-05,1150.00,Paid,Check,-
INV-2024-019,Fusion IT Support,2024-02-20,2024-03-07,3100.00,Pending,Bank Transfer,Net 15 terms
INV-2024-020,Harbor Construction Inc,2024-02-22,2024-03-10,6700.00,Overdue,Wire Transfer,Escalated to collections
