Product Name,Category,Price (USD),Rating,Reviews,Stock,Seller,URL
Samsung Galaxy S24 Ultra 512GB,Smartphones,1299.99,4.7,1243,In Stock,TechWorld Official,https://example.com/samsung-s24-ultra
iPhone 15 Pro Max 256GB,Smartphones,1199.00,4.8,2156,In Stock,Apple Store Official,https://example.com/iphone-15-pro-max
Sony WH-1000XM5 Wireless Headphones,Audio,349.99,4.6,3421,In Stock,Sony Official,https://example.com/sony-wh1000xm5
MacBook Air M3 15-inch,Laptops,1299.00,4.8,892,Low Stock,Apple Store Official,https://example.com/macbook-air-m3
Logitech MX Master 3S Mouse,Accessories,99.99,4.5,5678,In Stock,Logitech Direct,https://example.com/mx-master-3s
Samsung 49" Odyssey G9 Monitor,Monitors,1399.99,4.6,456,Pre-Order,Samsung Direct,https://example.com/odyssey-g9
Kindle Scribe 64GB,E-Readers,389.99,4.4,1234,In Stock,Amazon Devices,https://example.com/kindle-scribe
Dell XPS 16 Intel Ultra 9,Laptops,1899.99,4.5,345,In Stock,Dell Official,https://example.com/dell-xps-16
Apple AirPods Pro 2 USB-C,Audio,249.99,4.7,9876,In Stock,Apple Store Official,https://example.com/airpods-pro-2
ASUS ROG Ally X,Gaming,799.99,4.3,678,In Stock,ASUS Store,https://example.com/rog-ally-x
